,CAND_ID,CAND_ICI,PTY_CD,party,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,state_po,district_x,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,last_name,year,state,state_fips,state_cen,state_ic,office,district_y,stage,special,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,suffix,candidate,first_name,total_contrib,indiv_percent,pol_pty_percent,other_pac_percent,usd_per_vote,usd_per_percent
0,S4AK00214,I,2,REP,8978098.94,684520.05,9372898.58,6156.57,1126542.66,731743.02,0,0,0,0,0,0,6249185.62,AK,00,1904366.97,45100.0,12/31/2020,37600,8000,SULLIVAN,2020,ALASKA,2,94,81,US SENATE,statewide,gen,FALSE,REPUBLICAN,FALSE,total,191112.0,354587.0,FALSE,20210114,,DAN SULLIVAN,DAN,8198652.59,76.22210541793429,0.550090389913692,23.227804192152018,49.04400864414584,173903.67893101744
1,S0AL00156,I,1,DEM,31053566.07,1610711.22,32710698.97,0,2131165.71,474032.81,0,0,0,0,0,0,27472878.73,AL,00,1943850.37,0.0,12/31/2020,402775.53,6500,JONES,2020,ALABAMA,1,63,41,US SENATE,statewide,gen,FALSE,DEMOCRAT,FALSE,total,920478.0,2316445.0,FALSE,20210114,,DOUG JONES,DOUG,29416729.1,93.39202409828766,0.0,6.607975901712336,35.53664397193632,823186.8124557202
2,S0AL00230,C,2,REP,9605815.13,74005.8,9432335.29,15001.32,0,173479.84,0,1000000,0,949800,0,50200,7699666.71,AL,00,777079.11,47350.0,12/31/2020,116180.27,2200,TUBERVILLE,2020,ALABAMA,1,63,41,US SENATE,statewide,gen,FALSE,REPUBLICAN,FALSE,total,1392076.0,2316445.0,FALSE,20210114,,TOMMY TUBERVILLE,TOMMY,8524095.82,90.32825149541785,0.5554841357942407,9.116264368787915,6.775732998773055,156956.1282634285
3,S4AR00103,I,2,REP,9141301.91,1461076.82,4843700.46,809.01,2099351.54,6396952.99,0,0,0,0,0,73959,6396849.56,AR,00,1171770.0,200.0,12/31/2020,84420.56,5000,COTTON,2020,ARKANSAS,5,71,42,US SENATE,statewide,gen,FALSE,REPUBLICAN,FALSE,total,793871.0,1193261.0,FALSE,20210114,,TOM COTTON,TOM,7568819.56,84.51581530370107,0.002642419975988964,15.48154227632294,6.101369693564823,72805.26501912854
4,S0AR00226,C,3,LIB,79563.9,0,64036.71,0,0,15527.19,0,0,0,0,0,0,78713.9,AR,00,100.0,750.0,11/23/2020,0,0,HARRINGTON,2020,ARKANSAS,5,71,42,US SENATE,statewide,gen,FALSE,LIBERTARIAN,FALSE,total,399390.0,1193261.0,FALSE,20210114,JR.,RICKY HARRINGTON,RICKY,79563.9,98.93167630043274,0.9426385584417054,0.12568514112556073,0.1603362878389544,1913.2303916299861
5,S0AZ00350,I,1,DEM,101106583.88,2027313.04,99704060.42,1385000,0,1402523.46,0,0,0,0,0,0,98233235.44,AZ,00,837391.0,0.0,12/31/2020,1245535.42,5440.61,KELLY,2020,ARIZONA,4,86,61,US SENATE,statewide,gen,TRUE,DEMOCRAT,FALSE,total,1716467.0,3355307.0,FALSE,20210114,,MARK KELLY,MARK,99070626.44,99.15475350253574,0.0,0.8452464974642588,58.086791310290266,1948990.1749095612
6,S8AZ00221,I,2,REP,73553299.4,1849203.18,74361789.18,17906.3,923793.51,115303.73,0,0,0,0,0,585760.66,68221120.11,AZ,00,2727159.02,47582.0,12/31/2020,2072160.09,16600,MCSALLY,2020,ARIZONA,4,86,61,US SENATE,statewide,gen,TRUE,REPUBLICAN,FALSE,total,1637661.0,3355307.0,FALSE,20210114,,MARTHA MCSALLY,MARTHA,70995861.13,96.09168622531504,0.06702080831567485,3.841292966369292,45.40731517695055,1523554.824644284
7,S0CO00575,C,1,DEM,44246118.41,2970730.91,42604035.39,237.98,0,1642083.02,5600,0,0,0,0,0,39863159.07,CO,00,786813.4,49600.0,12/31/2020,656926.41,10500,HICKENLOOPER,2020,COLORADO,8,84,62,US SENATE,statewide,gen,FALSE,DEMOCRAT,FALSE,total,1731114.0,3235790.0,FALSE,20210114,,JOHN HICKENLOOPER,JOHN,40699572.47,97.94490863358202,0.12186860202661977,1.9332227643913629,24.610762428124318,796352.5895730039
8,S4CO00395,I,2,REP,26161851.26,3483492.67,26813944.62,10144.23,1701437.57,1049344.21,0,0,0,0,0,0,19777039.15,CO,00,2806812.74,53568.0,12/31/2020,633383.06,30000,GARDNER,2020,COLORADO,8,84,62,US SENATE,statewide,gen,FALSE,REPUBLICAN,FALSE,total,1429492.0,3235790.0,FALSE,20210114,,CORY GARDNER,CORY,22637419.89,87.36436946481005,0.23663474132784662,12.39899579386209,18.75767378901036,606958.9326974184
9,S0DE00092,I,1,DEM,6081414.85,90582.37,4746086.79,0,505185.2,1840513.26,0,0,0,0,0,0,3981462.28,DE,00,2008137.0,0.0,12/31/2020,60962.46,2500,COONS,2020,DELAWARE,10,51,11,US SENATE,statewide,gen,FALSE,DEMOCRAT,FALSE,total,291804.0,490935.0,FALSE,20210114,,CHRISTOPHER COONS,CHRISTOPHER,5989599.279999999,66.47293239289958,0.0,33.52706760710043,16.26463924415018,79848.8066732687
10,S0DE00183,C,2,REP,479515.11,0,476181.57,0,0,3333.54,25,0,0,0,0,0,467530.9,DE,00,850.0,5600.0,12/31/2020,5355.95,0,WITZKE,2020,DELAWARE,10,51,11,US SENATE,statewide,gen,FALSE,REPUBLICAN,FALSE,total,186054.0,490935.0,FALSE,20210114,,LAUREN WITZKE,LAUREN,473980.9,98.6391856718277,1.1814822074054039,0.17933212076689167,2.5593729239898093,12564.857464389372
11,S0GA00468,C,1,DEM,1536648.85,0,1534447.65,600,0,2201.2,0,0,0,0,0,0,1509007.85,GA,00,12750.0,0.0,12/31/2020,182231,0,LIEBERMAN,2020,GEORGIA,13,58,44,US SENATE,statewide,gen,TRUE,DEMOCRAT,FALSE,total,136021.0,4914361.0,FALSE,20210114,,MATT LIEBERMAN,MATT,1521757.85,99.16215316385588,0.0,0.8378468361441342,11.280961395666845,554387.1672537071
12,S0GA00484,C,1,DEM,60036.19,0,64403.88,0,0,-4367.69,10,546,0,0,0,546,46679.1,GA,00,0.0,0.0,12/31/2020,145,0,JOHNSON-SHEALEY,2020,GEORGIA,13,58,44,US SENATE,statewide,gen,TRUE,DEMOCRAT,FALSE,total,106767.0,4914361.0,FALSE,20210114,,TAMARA JOHNSON-SHEALEY,TAMARA,46679.1,100.0,0.0,0.0,0.6032189721543173,29644.35791215263
13,S0GA00542,C,1,DEM,61019.99,0,55517.2,0,0,14062.93,0,0,0,0,0,78.65,61019.99,GA,00,0.0,0.0,11/03/2020,0,0,WINFIELD,2020,GEORGIA,13,58,44,US SENATE,statewide,gen,TRUE,DEMOCRAT,FALSE,total,28687.0,4914361.0,FALSE,20210114,,RICHARD WINFIELD,RICHARD,61019.99,100.0,0.0,0.0,1.9352738174085822,95106.34172593858
